feature,gain,split
wind_onshore,8448471.111816406,40
active_7d_lag24,4723854.109375,19
lat,2173781.0092773438,50
wx_wind_gusts_10m,2135228.0952148438,34
active_24h_lag24,1408582.1918945312,24
wind_offshore,1405860.58203125,55
dow,948737.5249023438,52
total_load,863785.244140625,31
wx_wind_direction_100m,775852.578125,51
lon,720614.935546875,51
month,555739.4111328125,51
wx_wind_speed_100m,537477.4604492188,26
wx_temperature_2m,498454.40771484375,31
hour,275969.9609375,24
wx_wind_speed_10m,249339.6513671875,20
town_St. Peter,246569.619140625,7
is_weekend,198679.42041015625,8
residual_load,178188.3291015625,10
wx_cloud_cover,173912.1298828125,14
day_ahead,95457.36962890625,10
solar,94041.2998046875,9
is_de_holiday,75831.111328125,5
town_Ostermoor West,72752.529296875,3
town_Str?bbel,68858.5791015625,6
town_110kV Reußenköge (Privat),65044.810546875,6
town_Uelvesbüll,54776.48046875,5
town_Brachenfeld,47222.88037109375,4
town_Niendorf,44015.849609375,4
town_Lübke Koog Ost,41547.8994140625,3
wx_shortwave_radiation,38464.990234375,3
town_Itzehoe Mitte,34734.6796875,4
town_Wattenbek,25810.849609375,2
town_110kV Dörpum 1 (Privat),25514.91015625,3
town_Lütjenbrode,25003.8701171875,3
town_Niebüll,15232.7998046875,1
town_Heide,14448.5,1
town_Arkebek,12741.16015625,2
town_Quickborn/Dithmarschen,12712.2998046875,1
town_Quickborn,8751.509765625,1
town_Lübke Koog West,8709.740234375,1
town_Bollingstedt Süd,7310.31982421875,1
town_Wahlstedt Neu,7153.60986328125,1
town_Brokstedt,6780.93994140625,1
town_110kV Ostermoor-Ost (Privat),6538.7998046875,1
town_Hemme Ost,6247.22998046875,1
town_110kV Großenwiehe (Privat),5756.39990234375,1
town_Steinburg,5346.06005859375,1
town_Löwenstedt,0.0,0
town_Lindewitt Nord,0.0,0
town_Oldersbek,0.0,0
town_Klixbüll,0.0,0
town_Oldenborstel,0.0,0
town_Krogaspe,0.0,0
town_Nortorf Steinburg,0.0,0
town_Nortorf,0.0,0
